week;rank;rise;rise_nb;name;artist;last_week;peak;week_chart
"
                January 18, 2020
                ";29;Rising;+3;Hot Girl Bummer;blackbear;32;29;17
"
                January 18, 2020
                ";30;Rising;+14;Futsal Shuffle 2020;Lil Uzi Vert;44;5;4
"
                January 18, 2020
                ";31;Failing;-1;Even Though I'm Leaving;Luke Combs;30;11;19
"
                January 18, 2020
                ";32;Failing;-4;I Don't Care;Ed Sheeran & Justin Bieber;28;2;32
"
                January 18, 2020
                ";33;Failing;-19;Bad Guy;Billie Eilish;14;1;41
"
                January 18, 2020
                ";34;Failing;-5;Sucker;Jonas Brothers;29;1;40
"
                January 18, 2020
                ";35;Rising;+35;High Fashion;Roddy Ricch Featuring Mustard;70;35;2
"
                January 18, 2020
                ";36;Failing;-2;Lover;Taylor Swift;34;10;21
"
                January 18, 2020
                ";37;Rising;+2;On Chill;Wale Featuring Jeremih;39;22;22
"
                January 18, 2020
                ";38;Failing;-7;Falling;Trevor Daniel;31;31;8
"
                January 18, 2020
                ";39;Rising;+20;Blinding Lights;The Weeknd;59;11;6
"
                January 18, 2020
                ";40;Rising;+9;What If I Never Get Over You;Lady Antebellum;49;40;20
"
                January 18, 2020
                ";41;Steady;-;Suicidal;YNW Melly & Juice WRLD;41;41;7
"
                January 18, 2020
                ";42;Failing;-2;Talk;Khalid;40;3;45
"
                January 18, 2020
                ";43;Failing;-6;Graveyard;Halsey;37;34;17
"
                January 18, 2020
                ";44;Rising;+6;My Oh My;Camila Cabello Featuring DaBaby;50;44;5
"
                January 18, 2020
                ";45;Failing;-3;Beautiful People;Ed Sheeran Featuring Khalid;42;13;26
"
                January 18, 2020
                ";46;Failing;-31;Old Town Road;Lil Nas X Featuring Billy Ray Cyrus;15;1;45
"
                January 18, 2020
                ";47;Rising;+4;Ridin' Roads;Dustin Lynch;51;47;10
"
                January 18, 2020
                ";48;Failing;-3;Juicy;Doja Cat & Tyga;45;45;11
"
                January 18, 2020
                ";49;Rising;+5;Playing Games;Summer Walker;54;16;19
"
                January 18, 2020
                ";50;Failing;-7;Suge;DaBaby;43;7;37
"
                January 18, 2020
                ";51;Rising;+7;Heartache Medication;Jon Pardi;58;51;15
"
                January 18, 2020
                ";52;Failing;-14;Out West;JACKBOYS Featuring Young Thug;38;38;2
"
                January 18, 2020
                ";53;Rising;+4;VIBEZ;DaBaby;57;21;15
"
                January 18, 2020
                ";54;Rising;+6;Kinfolks;Sam Hunt;60;54;13
"
                January 18, 2020
                ";55;Failing;-2;Heat;Chris Brown Featuring Gunna;53;36;19
"
                January 18, 2020
                ";56;Rising;+12;Start Wit Me;Roddy Ricch & Gunna;68;56;8
"
                January 18, 2020
                ";57;Failing;-2;Into The Unknown;Idina Menzel & AURORA;55;46;7
"
                January 18, 2020
                ";58;Failing;-12;No Idea;Don Toliver;46;43;6
"
                January 18, 2020
                ";59;Rising;+3;Heart On Ice;Rod Wave;62;54;9
"
                January 18, 2020
                ";60;New;-;U Played;MoneyBagg Yo Featuring Lil Baby;-;60;1
"
                January 18, 2020
                ";61;Rising;+11;South Of The Border;Ed Sheeran Featuring Camila Cabello & Cardi B;72;53;5
"
                January 18, 2020
                ";62;Rising;+9;TOES;DaBaby Featuring Lil Baby & Moneybagg Yo;71;28;6
"
                January 18, 2020
                ";63;Rising;+1;Homesick;Kane Brown;64;63;8
"
                January 18, 2020
                ";64;Failing;-3;Remember You Young;Thomas Rhett;61;53;17
"
                January 18, 2020
                ";65;Rising;+9;I Hope;Gabby Barrett;74;65;2
"
                January 18, 2020
                ";66;Failing;-3;Take What You Want;Post Malone Featuring Ozzy Osbourne & Travis Scott;63;8;18
"
                January 18, 2020
                ";67;Rising;+6;Slide;H.E.R. Featuring YG;73;67;3
"
                January 18, 2020
                ";68;Failing;-2;RITMO (Bad Boys For Life);The Black Eyed Peas X J Balvin;66;66;7
"
                January 18, 2020
                ";69;Rising;+12;BEST ON EARTH;Russ & BIA;81;69;5
"
                January 18, 2020
                ";70;New;-;SUGAR;BrockHampton;-;70;1
"
                January 18, 2020
                ";71;Failing;-23;GANG GANG;JACKBOYS & Sheck Wes;48;48;2
"
                January 18, 2020
                ";72;Failing;-7;Camelot;NLE Choppa;65;37;17
"
                January 18, 2020
                ";73;Failing;-6;Leave Em Alone;Layton Greene, Lil Baby, City Girls & PnB Rock;67;60;14
"
                January 18, 2020
                ";74;Rising;+3;We Back;Jason Aldean;77;74;6
"
                January 18, 2020
                ";75;Rising;+11;What She Wants Tonight;Luke Bryan;86;75;3
"
                January 18, 2020
                ";76;Failing;-24;HAD ENOUGH;Don Toliver Featuring Quavo & Offset;52;52;2
"
                January 18, 2020
                ";77;Failing;-2;Nice To Meet Ya;Niall Horan;75;63;13
"
                January 18, 2020
                ";78;Rising;+6;Make Me Want To;Jimmie Allen;84;78;2
"
                January 18, 2020
                ";79;Rising;+10;Tip Toe;Roddy Ricch Featuring A Boogie Wit da Hoodie;89;73;6
"
                January 18, 2020
                ";80;Failing;-1;Easy;DaniLeigh Featuring Chris Brown;79;79;10
"
                January 18, 2020
                ";81;Rising;+1;Watermelon Sugar;Harry Styles;82;54;7
"
                January 18, 2020
                ";82;Rising;+6;More Hearts Than Mine;Ingrid Andress;88;82;2
"
                January 18, 2020
                ";83;Rising;+7;I Wish Grandpas Never Died;Riley Green;90;83;2
"
                January 18, 2020
                ";84;Rising;+3;homecoming queen?;Kelsea Ballerini;87;82;5
"
                January 18, 2020
                ";85;Failing;-7;223's;YNW Melly & 9lokknine;78;34;18
"
                January 18, 2020
                ";86;Re-Enter;-;Peta;Roddy Ricch Featuring Meek Mill;-;72;3
"
                January 18, 2020
                ";87;Failing;-11;Tusa;Karol G & Nicki Minaj;76;76;6
"
                January 18, 2020
                ";88;Rising;+5;Jerry Sprunger;Tory Lanez & T-Pain;93;44;6
"
                January 18, 2020
                ";89;Failing;-4;Enemies;Post Malone Featuring DaBaby;85;16;18
"
                January 18, 2020
                ";90;New;-;All I Want;Olivia Rodrigo;-;90;1
"
                January 18, 2020
                ";91;Rising;+9;July;Noah Cyrus & Leon Bridges;100;91;2
"
                January 18, 2020
                ";92;Failing;-9;Vete;Bad Bunny;83;33;7
